Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
456 4130.1 6420.16 4140.33 6595.92
457 4126.58 6415.89 4137.05 6591.87
458 4123.1 6411.66 4133.82 6587.85
459 4119.67 6407.43 4130.59 6583.84
460 4116.32 6403.26 4127.4 6579.87
461 4113.05 6399.14 4124.27 6575.95
462 4109.84 6395.04 4121.17 6572.05
463 4106.69 6390.96 4118.08 6568.17
464 4103.62 6386.94 4115.05 6564.34
465 4100.63 6382.95 4112.05 6560.54
466 4097.67 6378.97 4109.06 6556.74
467 4094.78 6375.03 4106.11 6552.98
468 4091.96 6371.14 4103.19 6549.27
469 4089.18 6367.27 4100.3 6545.58
470 4086.42 6363.41 4097.41 6541.9
471 4083.72 6359.6 4094.55 6538.27
472 4081.04 6355.82 4091.72 6534.67
473 4078.37 6352.05 4088.9 6531.07
474 4075.7 6348.32 4086.09 6527.51
475 4073.05 6344.63 4083.31 6523.99
476 4070.39 6340.96 4080.54 6520.5
477 4067.69 6337.28 4077.76 6516.99
478 4064.98 6333.65 4075 6513.53
479 4062.26 6330.07 4072.27 6510.11
480 4059.5 6326.5 4069.54 6506.71
481 4056.71 6322.94 4066.8 6503.32
482 4053.91 6319.43 4064.1 6499.97
483 4051.09 6315.95 4061.41 6496.66
484 4048.25 6312.48 4058.72 6493.35
485 4045.41 6309.03 4056.05 6490.07
486 4042.59 6305.63 4053.4 6486.82
487 4039.79 6302.25 4050.77 6483.61
488 4037.02 6298.87 4048.15 6480.39
489 4034.29 6295.52 4045.55 6477.2
490 4031.64 6292.2 4042.99 6474.05
491 4029.05 6288.9 4040.46 6470.92
492 4026.54 6285.62 4037.95 6467.81
493 4024.11 6282.38 4035.48 6464.75
494 4021.75 6279.16 4033.05 6461.7
495 4019.45 6275.94 4030.64 6458.67
496 4017.2 6272.75 4028.26 6455.67
497 4015.02 6269.61 4025.92 6452.72
498 4012.86 6266.49 4023.61 6449.79
499 4010.69 6263.37 4021.31 6446.88
500 4008.52 6260.28 4019.02 6443.99
501 4006.33 6257.22 4016.76 6441.14
502 4004.1 6254.2 4014.5 6438.32
503 4001.79 6251.17 4012.24 6435.51
504 3999.41 6248.17 4009.98 6432.73
505 3996.97 6245.21 4007.74 6429.98
506 3994.45 6242.27 4005.49 6427.25
507 3991.84 6239.33 4003.24 6424.54
508 3989.13 6236.42 4000.98 6421.84
509 3986.36 6233.54 3998.74 6419.18
510 3983.53 6230.69 3996.51 6416.55
511 3980.62 6227.86 3994.28 6413.93
512 3977.67 6225.04 3992.05 6411.32
513 3974.69 6222.25 3989.85 6408.74
514 3971.7 6219.5 3987.67 6406.19
515 3968.7 6216.77 3985.5 6403.65
516 3965.72 6214.05 3983.35 6401.13
517 3962.8 6211.37 3981.23 6398.63
518 3959.95 6208.72 3979.14 6396.16
519 3957.18 6206.1 3977.08 6393.71
520 3954.51 6203.48 3975.03 6391.26
521 3951.98 6200.91 3973.03 6388.84
522 3949.6 6198.38 3971.07 6386.45
523 3947.37 6195.88 3969.15 6384.07
