Iter MassIn(kg/s) MassOut(kg/s) Ratio
808 29.6441 29.6441 1
809 29.6441 29.6441 1
810 29.6441 29.6441 1
811 29.6441 29.6441 1
812 29.6441 29.6441 1
813 29.6441 29.6441 1
814 29.6441 29.6441 1
815 29.6441 29.6441 1
816 29.6441 29.6441 1
817 29.6441 29.6441 1
818 29.6441 29.6441 1
819 29.6441 29.6441 1
820 29.6441 29.6441 1
821 29.6441 29.6441 1
822 29.6441 29.6441 1
823 29.6441 29.6441 1
824 29.6441 29.6441 1
825 29.6441 29.6441 1
826 29.6441 29.6441 1
827 29.6441 29.6441 1
828 29.6441 29.6441 1
829 29.6441 29.6441 1
830 29.6441 29.6441 1
831 29.6441 29.6441 1
832 29.6441 29.6441 1
833 29.6441 29.6441 1
834 29.6441 29.6441 1
835 29.6441 29.6441 1
836 29.6441 29.6441 1
837 29.6441 29.6441 1
838 29.6441 29.6441 1
839 29.6441 29.6441 1
840 29.6441 29.6441 1
841 29.6441 29.6441 1
842 29.6441 29.6441 1
843 29.6441 29.6441 1
844 29.6441 29.6441 1
845 29.6441 29.6441 1
846 29.6441 29.6441 1
847 29.6441 29.6441 1
848 29.6441 29.6441 1
849 29.6441 29.6441 1
850 29.6441 29.6441 1
851 29.6441 29.6441 1
852 29.6441 29.6441 1
853 29.6441 29.6441 1
854 29.6441 29.6441 1
855 29.6441 29.6441 1
856 29.6441 29.6441 1
857 29.6441 29.6441 1
858 29.6441 29.6441 1
859 29.6441 29.6441 1
860 29.6441 29.6441 1
861 29.6441 29.6441 1
862 29.6441 29.6441 1
863 29.6441 29.6441 1
864 29.6441 29.6441 1
865 29.6441 29.6441 1
866 29.6441 29.6441 1
867 29.6441 29.6441 1
868 29.6441 29.6441 1
869 29.6441 29.6441 1
870 29.6441 29.6441 1
871 29.6441 29.6441 1
872 29.6441 29.6441 1
873 29.6441 29.6441 1
874 29.6441 29.6441 1
875 29.6441 29.6441 1
876 29.6441 29.6441 1
877 29.6441 29.6441 1
878 29.6441 29.6441 1
879 29.6441 29.6441 1
880 29.6441 29.6441 1
881 29.6441 29.6441 1
882 29.6441 29.6441 1
883 29.6441 29.6441 1
884 29.6441 29.6441 1
885 29.6441 29.6441 1
886 29.6441 29.6441 1
887 29.6441 29.6441 1
888 29.6441 29.6441 1
889 29.6441 29.6441 1
890 29.6441 29.6441 1
891 29.6441 29.6441 1
892 29.6441 29.6441 1
893 29.6441 29.6441 1
894 29.6441 29.6441 1
895 29.6441 29.6441 1
896 29.6441 29.6441 1
897 29.6441 29.6441 1
898 29.6441 29.6441 1
899 29.6441 29.6441 1
900 29.6441 29.6441 1
901 29.6441 29.6441 1
902 29.6441 29.6441 1
903 29.6441 29.6441 1
904 29.6441 29.6441 1
905 29.6441 29.6441 1
906 29.6441 29.6441 1
907 29.6441 29.6441 1
908 29.6441 29.6441 1
909 29.6441 29.6441 1
910 29.6441 29.6441 1
911 29.6441 29.6441 1
912 29.6441 29.6441 1
913 29.6441 29.6441 1
914 29.6441 29.6441 1
915 29.6441 29.6441 1
916 29.6441 29.6441 1
917 29.6441 29.6441 1
918 29.6441 29.6441 1
919 29.6441 29.6441 1
920 29.6441 29.6441 1
921 29.6441 29.6441 1
922 29.6441 29.6441 1
