Iter MassResid UResid VResid Core_dP_AfterInletBuffer(Pa) Full_dP_FullSystem(Pa)
318 3.48381e-05 0.00733667 0.00446999 4937.31 7548.01
319 3.52365e-05 0.00727884 0.0044098 4928.11 7532.97
320 3.28922e-05 0.00727205 0.00439993 4919.1 7518.1
321 3.40019e-05 0.00720514 0.00436819 4910.14 7503.22
322 3.43491e-05 0.00716446 0.00431632 4901.29 7488.51
323 3.2631e-05 0.00714541 0.00430864 4892.55 7474
324 3.30326e-05 0.00706785 0.00426899 4883.78 7459.55
325 3.29122e-05 0.00703934 0.00423183 4875.02 7445.25
326 3.23602e-05 0.00701726 0.00421425 4866.23 7431.1
327 3.21287e-05 0.00693336 0.0041693 4857.39 7417.08
328 3.27476e-05 0.00690979 0.00414221 4848.48 7403.18
329 3.1847e-05 0.00687999 0.00411811 4839.54 7389.48
330 3.15797e-05 0.00679617 0.00406892 4830.52 7375.91
331 3.2778e-05 0.00676975 0.00404851 4821.43 7362.45
332 3.14098e-05 0.00673524 0.00401946 4812.35 7349.23
333 3.20621e-05 0.0067127 0.00396775 4803.2 7336.11
334 3.25529e-05 0.00666295 0.0039513 4794.07 7323.17
335 3.0969e-05 0.00664067 0.00391791 4785 7310.43
336 3.21774e-05 0.00664119 0.00386517 4775.91 7297.76
337 3.20919e-05 0.0065903 0.00385079 4766.92 7285.29
338 3.15226e-05 0.00655822 0.00381516 4758.05 7272.97
339 3.19929e-05 0.00655415 0.00376331 4749.26 7260.77
340 3.14989e-05 0.00650725 0.00374893 4740.63 7248.74
341 3.2329e-05 0.00647908 0.00371219 4732.13 7236.81
342 3.1649e-05 0.00648108 0.00366238 4723.8 7225.06
343 3.25222e-05 0.00645046 0.00364689 4715.61 7213.43
344 3.28583e-05 0.00641515 0.00361008 4707.59 7201.97
345 3.18412e-05 0.00641026 0.00356627 4699.72 7190.69
346 3.33252e-05 0.00637677 0.00356792 4691.95 7179.5
347 3.31486e-05 0.00633057 0.00352656 4684.3 7168.5
348 3.19394e-05 0.00632253 0.00354117 4676.73 7157.65
349 3.39217e-05 0.00628844 0.00353398 4669.16 7146.87
350 3.32392e-05 0.00623256 0.00348522 4661.66 7136.28
351 3.24873e-05 0.00622371 0.00350931 4654.16 7125.81
352 3.4323e-05 0.00618698 0.00349453 4646.62 7115.43
353 3.31078e-05 0.00612285 0.00344218 4639.08 7105.22
354 3.32232e-05 0.0061156 0.00347175 4631.48 7095.1
355 3.4452e-05 0.006076 0.00345037 4623.83 7085.09
356 3.28459e-05 0.00600529 0.00340746 4616.15 7075.23
357 3.37986e-05 0.00600102 0.00342983 4608.38 7065.43
358 3.44396e-05 0.00596026 0.0034027 4600.57 7055.75
359 3.23478e-05 0.00588769 0.00336898 4592.74 7046.2
360 3.41702e-05 0.00588379 0.00338493 4584.82 7036.66
361 3.43106e-05 0.00584329 0.00335295 4576.92 7027.26
362 3.19751e-05 0.00577567 0.00332829 4569.04 7017.98
363 3.43817e-05 0.00576432 0.00333852 4561.12 7008.69
364 3.40836e-05 0.00572534 0.0033022 4553.31 6999.55
365 3.23479e-05 0.00566331 0.00328598 4545.59 6990.51
366 3.44616e-05 0.005639 0.0032911 4537.94 6981.49
367 3.37662e-05 0.00560324 0.00325031 4530.49 6972.61
368 3.27861e-05 0.00554783 0.00324143 4523.23 6963.82
369 3.44358e-05 0.00551006 0.00324197 4516.14 6955.07
370 3.33762e-05 0.00547852 0.00319724 4509.33 6946.44
371 3.31123e-05 0.00543036 0.00319488 4502.79 6937.89
372 3.43276e-05 0.0053814 0.00319155 4496.51 6929.39
373 3.2937e-05 0.00535285 0.00314365 4490.57 6921.01
374 3.33338e-05 0.00532544 0.00314705 4484.92 6912.68
375 3.41503e-05 0.00532385 0.00314061 4479.56 6904.42
376 3.24723e-05 0.00529578 0.0030903 4474.54 6896.27
377 3.34721e-05 0.00526302 0.00309858 4469.77 6888.15
378 3.39263e-05 0.00526441 0.00308974 4465.26 6880.12
379 3.20085e-05 0.00524215 0.00303773 4461 6872.2
380 3.35434e-05 0.0052097 0.00304985 4456.89 6864.29
381 3.36878e-05 0.00520302 0.00303934 4452.93 6856.48
382 3.15178e-05 0.00518654 0.0029863 4449.1 6848.78
383 3.3531e-05 0.0051618 0.00300109 4445.26 6841.07
384 3.34401e-05 0.00513965 0.00298964 4441.47 6833.47
385 3.10632e-05 0.00512891 0.00293629 4437.67 6825.97
386 3.34303e-05 0.00511161 0.00295245 4433.73 6818.45
387 3.31736e-05 0.0050739 0.00294083 4429.73 6811.05
388 3.11329e-05 0.00506893 0.00288787 4425.64 6803.74
389 3.32623e-05 0.00505599 0.00290391 4421.34 6796.42
390 3.28851e-05 0.00501093 0.0028925 4416.93 6789.21
391 3.11003e-05 0.00500424 0.00284049 4412.36 6782.08
392 3.30516e-05 0.00499649 0.00285418 4407.57 6774.95
393 3.25865e-05 0.0049584 0.0028442 4402.65 6767.92
394 3.09768e-05 0.00493566 0.00279408 4397.58 6760.97
395 3.28083e-05 0.00493368 0.00280376 4392.31 6754.01
396 3.2292e-05 0.00490272 0.00279627 4386.93 6747.15
